Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
47,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
48,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
49,3105.80,5.00,0.23,0.19
