Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro, Passo
0,1,56.25,110.80,8.75,17361.75,0.90
0,1,58.78,104.58,6.22,17361.75,0.90
0,1,59.72,102.21,5.28,17361.75,0.90
0,1,64.78,89.76,0.22,17361.75,0.90
0,1,69.37,60.37,-4.37,17361.75,0.90
0,1,75.08,-15.80,-10.08,17361.75,0.90
0,1,76.68,-118.00,-11.68,17361.75,0.90
0,1,77.21,-119.53,-12.21,17361.75,0.90
0,1,70.50,-102.71,-5.50,17361.75,0.90
0,1,66.21,-92.14,-1.21,17361.75,0.90
0,1,62.60,-72.79,2.40,17361.75,0.90
0,1,56.82,-6.37,8.18,17361.75,0.90
0,1,60.70,36.94,4.30,17361.75,0.90
0,1,61.60,75.21,3.40,17361.75,0.90
0,1,61.66,97.53,3.34,17361.75,0.90
0,2,20.99,219.39,44.01,17361.75,0.90
0,2,38.41,114.92,26.59,17361.75,0.90
0,2,39.55,110.97,25.45,17361.75,0.90
0,2,39.76,110.16,25.24,17361.75,0.90
0,2,39.84,109.84,25.16,17361.75,0.90
0,2,39.89,109.68,25.11,17361.75,0.90
0,2,39.91,109.58,25.09,17361.75,0.90
0,2,39.93,109.51,25.07,17361.75,0.90
0,2,39.94,109.46,25.06,17361.75,0.90
0,2,40.24,108.11,24.76,17361.75,0.90
0,2,51.71,58.41,13.29,17361.75,0.90
0,2,77.24,-47.48,-12.24,17361.75,0.90
0,2,87.98,-100.65,-22.98,17361.75,0.90
0,2,71.87,-32.86,-6.87,17361.75,0.90
0,2,53.36,45.53,11.64,17361.75,0.90
0,2,50.11,68.84,14.89,17361.75,0.90
0,2,50.53,66.75,14.47,17361.75,0.90
0,2,54.22,50.96,10.78,17361.75,0.90
0,2,63.78,12.59,1.22,17361.75,0.90
0,2,69.62,-13.35,-4.62,17361.75,0.90
0,2,70.14,-18.41,-5.14,17361.75,0.90
0,2,69.80,-21.47,-4.80,17361.75,0.90
0,2,65.75,-6.91,-0.75,17361.75,0.90
0,2,61.39,13.10,3.61,17361.75,0.90
0,2,61.68,13.78,3.32,17361.75,0.90
0,2,62.00,15.43,3.00,17361.75,0.90
0,2,63.95,9.55,1.05,17361.75,0.90
0,2,63.01,14.66,1.99,17361.75,0.90
0,2,62.76,17.77,2.24,17361.75,0.90
0,2,63.18,16.00,1.82,17361.75,0.90
0,2,63.62,14.24,1.38,17361.75,0.90
